variant,target,variable_type,source,S,G,complexity,equation,holdout_r2,residual_tail_ratio,delta,threshold,growth_cap,max_train_cusum,max_test_cusum,total_alarm_rate,benign_alarm_rate,attack_alarm_rate,num_alarm_intervals,longest_alarm_interval
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT101,sensor,no_holdout_quality_gate,1.0,2.0,5.0,(LIT101 * -5.3608805e-5) + 0.031951737,-0.02073055819816272,4.142017125521039,0.03810283754570068,2.1334046089692884,2.2096102840606897,2.1334046089692884,2.1797146193093173,8.89050893718411e-06,0.0,7.753440589261485e-05,1,4
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT101,sensor,no_holdout_quality_gate,1.0,2.0,5.0,(FIT201 - FIT101) * -0.19228067,0.40181479216081095,4.537950991815633,0.45541297011116505,7.342065496345566,8.252891436567896,7.342065496345566,8.252891436567896,0.004469703368169311,0.00010544074230282581,0.03816631130063966,11,1048
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT201,sensor,no_holdout_quality_gate,1.0,2.0,3.0,FIT301 * 0.0019161832,-0.028412093537082406,1.72743861513076,0.02363255310208697,2.2033478139145313,2.250612920118705,2.2033478139145313,2.250612920118705,5.778830809169671e-05,4.769938342270691e-05,0.000135685210312076,4,9
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,DPIT301,sensor,no_holdout_quality_gate,1.0,2.0,7.0,P302 - ((FIT301 * 0.4284513) - -1.027144),0.43800956563704907,25.153209621175467,0.16714296976649062,1441.2077451352443,1441.5420310747772,1441.2077451352443,63.35953520982656,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT301,sensor,no_holdout_quality_gate,1.0,2.0,3.0,MV303 * -0.0026802947,-0.010334711974421706,19.166696097155796,0.02845999811762023,2.1260029059971055,2.1829229022323458,2.1260029059971055,2.1829229022323458,0.0003556203574873644,0.0,0.0031013762357045937,11,25
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT301,sensor,no_holdout_quality_gate,1.0,2.0,5.0,(FIT301 - FIT201) * -0.18929929,0.336680080211637,4.001021228958368,0.35900655586676056,3.461929007069731,4.179942118803252,3.461929007069731,4.179942118803252,0.005592130121488805,0.00014309815026812073,0.04766427602248498,18,956
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,AIT401,sensor,no_holdout_quality_gate,1.0,2.0,9.0,(FIT301 * (MV304 * (MV304 * 1.11552225e-7))) * AIT401,-0.0007011429606935682,4.054639083289264,0.09907165330484896,147.5352886181464,147.7334319247561,147.5352886181464,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT401,sensor,no_holdout_quality_gate,1.0,2.0,5.0,(DPIT301 * 0.022688651) - 0.38223073,0.2947958211021037,3.951397925657353,0.3366300543860994,26.577115999840423,27.25037610861262,26.577115999840423,27.25037610861262,0.045230464217924156,8.284629752364885e-05,0.393816631130064,1751,920
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,AIT504,sensor,no_holdout_quality_gate,1.0,2.0,7.0,((FIT504 * 3.598646) - 1.1120417) * PIT502,-0.04966050508977915,38.574280505575615,0.10845552326854281,343.7710486356936,343.98795968223067,343.7710486356936,343.98795968223067,0.0003067225583328518,0.0003464481532807134,0.0,4,133
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT501,sensor,no_holdout_quality_gate,1.0,2.0,3.0,AIT504 * 6.7863766e-6,-0.011206098840220724,34.72298697833636,0.0013179223851327868,1.5784808868094178,1.5811167315796835,1.5784808868094178,1.5811167315796835,0.00015780653363501793,0.00011799321162459078,0.00046520643535568907,3,47
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT502,sensor,no_holdout_quality_gate,1.0,2.0,5.0,(P402 - UV401) * 0.20704994,-9.542144852048295e-12,4.050449108763439,0.011624436868351438,0.9618822646399326,0.9851311383766356,0.9618822646399326,0.9851311383766356,0.0030561124471570377,0.00012050370548894379,0.025722039154874976,7,575
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT504,sensor,no_holdout_quality_gate,1.0,2.0,7.0,FIT502 * (0.006901001 - (FIT504 * 0.022353666)),0.0006818953951246431,34.63391625029279,0.0006375541651170856,0.6870304022802411,0.6883055106104753,0.6870304022802411,0.6883055106104753,0.0034984152667819467,0.00031130123917977147,0.028106222136072882,6,511
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,PIT503,sensor,no_holdout_quality_gate,1.0,2.0,15.0,((((UV401 * P402) * P402) + -0.97898483) * (FIT503 + -0.9433507)) * (FIT401 + -1.7066069),-0.16917589053297233,14.725584363887497,0.11122263994287224,237.239799629986,237.46224490987174,237.239799629986,237.46224490987174,0.004180761827710828,0.00023598642324918157,0.034638495832525686,6,582
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT601,sensor,no_holdout_quality_gate,1.0,2.0,7.0,((P602 - FIT601) + -0.99994063) * FIT301,0.4916735207848195,10.255337304276727,0.01008498507082207,2.289475514628716,2.30964548477036,2.289475514628716,2.30964548477036,0.00038451451153321273,4.267839569400092e-05,0.003023841829811979,10,40
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV101,actuator,actuator_persistence,1.0,2.0,1.0,MV101,,,0.050778100568907185,2.5937751954487425,2.695331396586557,2.5937751954487425,2.5937751954487425,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P101,actuator,actuator_persistence,1.0,2.0,1.0,P101,,,0.02283152133090779,0.9771684786690922,1.0228315213309078,0.9771684786690922,0.9771684786690922,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P102,actuator,actuator_persistence,1.0,2.0,1.0,P102,,,1e-06,1e-06,3e-06,0.0,3e-06,5.3343053623104655e-05,3.0125926372235947e-05,0.00023260321767784454,8,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV201,actuator,actuator_persistence,1.0,2.0,1.0,MV201,,,0.05142405563146907,2.640031610579716,2.7428797218426544,2.640031610579716,2.640031610579716,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P202,actuator,actuator_persistence,1.0,2.0,1.0,P202,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P203,actuator,actuator_persistence,1.0,2.0,1.0,P203,,,0.022831521330907788,0.9771684786690922,1.0228315213309078,0.9771684786690922,0.9771684786690922,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P204,actuator,actuator_persistence,1.0,2.0,1.0,P204,,,1e-06,1e-06,3e-06,0.0,3e-06,1.3335763405776164e-05,0.0,0.00011630160883892227,2,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P205,actuator,actuator_persistence,1.0,2.0,1.0,P205,,,0.024826988305938616,1.5282872221871655,1.5779411987990428,1.5282872221871655,0.9751730116940613,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P206,actuator,actuator_persistence,1.0,2.0,1.0,P206,,,1e-06,1e-06,3e-06,0.0,3e-06,1.3335763405776164e-05,0.0,0.00011630160883892227,2,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV301,actuator,actuator_persistence,1.0,2.0,1.0,MV301,,,0.05237923317467451,3.538176040790302,3.6429345071396506,3.538176040790302,3.538176040790302,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV302,actuator,actuator_persistence,1.0,2.0,1.0,MV302,,,0.07240099292831928,2.5655940424300847,2.7103960282867234,2.5655940424300847,2.7103960282867234,6.667881702888082e-05,0.0,0.0005815080441946114,10,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV303,actuator,actuator_persistence,1.0,2.0,1.0,MV303,,,0.052379233174674536,2.580966134602604,2.685724600951953,2.580966134602604,2.580966134602603,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,MV304,actuator,actuator_persistence,1.0,2.0,1.0,MV304,,,0.07247943385085219,2.4926439630440353,2.6376028307457395,2.4926439630440353,2.4926439630440353,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P301,actuator,actuator_persistence,1.0,2.0,1.0,P301,,,0.004036284484333829,2.4995007239426092,2.507573292911277,2.4995007239426092,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P302,actuator,actuator_persistence,1.0,2.0,1.0,P302,,,0.0321976659636582,2.710221006327076,2.7746163382543925,2.710221006327076,0.9678023340363417,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P401,actuator,actuator_persistence,1.0,2.0,1.0,P401,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P402,actuator,actuator_persistence,1.0,2.0,1.0,P402,,,0.0014233583151173907,0.9985766416848826,1.0014233583151173,0.9985766416848826,1.0014233583151173,4.000729021732849e-05,0.0,0.0003489048265167668,7,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P403,actuator,actuator_persistence,1.0,2.0,1.0,P403,,,1e-06,1e-06,3e-06,0.0,3e-06,1.3335763405776164e-05,1.5062963186117974e-05,0.0,2,3
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P404,actuator,actuator_persistence,1.0,2.0,1.0,P404,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,UV401,actuator,actuator_persistence,1.0,2.0,1.0,UV401,,,0.001423358315117391,0.9985766416848826,1.0014233583151173,0.9985766416848826,1.0014233583151173,2.2226272342960274e-05,1.5062963186117974e-05,7.753440589261485e-05,4,4
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P501,actuator,actuator_persistence,1.0,2.0,1.0,P501,,,0.0014233583151173938,0.9985766416848826,1.0014233583151173,0.9985766416848826,1.0014233583151173,2.2226272342960274e-05,1.5062963186117974e-05,7.753440589261485e-05,5,2
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P502,actuator,actuator_persistence,1.0,2.0,1.0,P502,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P601,actuator,actuator_persistence,1.0,2.0,1.0,P601,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P602,actuator,actuator_persistence,1.0,2.0,1.0,P602,,,0.023252724092464913,1.3024182772260522,1.348923725410982,1.3024182772260522,1.348923725410982,8.89050893718411e-06,0.0,7.753440589261485e-05,2,2
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,P603,actuator,actuator_persistence,1.0,2.0,1.0,P603,,,1e-06,1e-06,3e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT101,sensor,no_holdout_quality_gate,1.0,5.98,5.0,(LIT101 * -5.3608805e-5) + 0.031951737,-0.02073055819816272,4.142017125521039,0.03810283754570068,2.1334046089692884,2.3612595774925786,2.1334046089692884,2.1797146193093173,8.89050893718411e-06,0.0,7.753440589261485e-05,1,4
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT101,sensor,no_holdout_quality_gate,1.0,5.98,5.0,(FIT201 - FIT101) * -0.19228067,0.40181479216081095,4.537950991815633,0.45541297011116505,7.342065496345566,10.065435057610333,7.342065496345566,10.065435057610333,0.004847549997999636,0.00021088148460565162,0.040647412289203336,11,1053
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT201,sensor,no_holdout_quality_gate,1.0,5.98,3.0,FIT301 * 0.0019161832,-0.028412093537082406,1.72743861513076,0.02363255310208697,2.2033478139145313,2.3446704814650112,2.2033478139145313,2.3446704814650112,8.668246213754506e-05,7.029382820188388e-05,0.00021321961620469082,4,14
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,DPIT301,sensor,no_holdout_quality_gate,1.0,5.98,7.0,P302 - ((FIT301 * 0.4284513) - -1.027144),0.43800956563704907,25.153209621175467,0.16714296976649062,1441.2077451352443,1442.207260094448,1441.2077451352443,63.35953520982656,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT301,sensor,no_holdout_quality_gate,1.0,5.98,3.0,MV303 * -0.0026802947,-0.010334711974421706,19.166696097155796,0.02845999811762023,2.1260029059971055,2.2961936947404746,2.1260029059971055,2.2961936947404746,0.0005112042638880863,0.0,0.004458228338825354,12,31
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT301,sensor,no_holdout_quality_gate,1.0,5.98,5.0,(FIT301 - FIT201) * -0.18929929,0.336680080211637,4.001021228958368,0.35900655586676056,3.461929007069731,5.608788211152959,3.461929007069731,5.608788211152959,0.0058655132713072156,0.0002786648189431825,0.049001744524132584,13,1158
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,AIT401,sensor,no_holdout_quality_gate,1.0,5.98,9.0,(FIT301 * (MV304 * (MV304 * 1.11552225e-7))) * AIT401,-0.0007011429606935682,4.054639083289264,0.09907165330484896,147.5352886181464,148.12773710490941,147.5352886181464,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,LIT401,sensor,no_holdout_quality_gate,1.0,5.98,5.0,(DPIT301 * 0.022688651) - 0.38223073,0.2947958211021037,3.951397925657353,0.3366300543860994,26.577115999840423,28.590163725069296,26.577115999840423,28.590163725069296,0.07360452349094723,0.0002610913618927115,0.6398914518317503,116,2042
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,AIT504,sensor,no_holdout_quality_gate,1.0,5.98,7.0,((FIT504 * 3.598646) - 1.1120417) * PIT502,-0.04966050508977915,38.574280505575615,0.10845552326854281,343.7710486356936,344.41961266483946,343.7710486356936,344.41961266483946,0.0003489524757844763,0.0003941475367034203,0.0,2,149
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT501,sensor,no_holdout_quality_gate,1.0,5.98,3.0,AIT504 * 6.7863766e-6,-0.011206098840220724,34.72298697833636,0.0013179223851327868,1.5784808868094178,1.586362062672512,1.5784808868094178,1.586362062672512,0.00020670433278953054,0.00015314012572553273,0.0006202752471409188,3,61
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate,FIT502,sensor,no_holdout_quality_gate,1.0,5.98,5.0,(P402 - UV401) * 0.20704994,-9.542144852048295e-12,4.050449108763439,0.011624436868351438,0.9618822646399326,1.0313963971126743,0.9618822646399326,1.0313963971126743,0.0031516854182317665,0.00020837099074129864,0.025877107966660207,7,590
